"Fecha","Archivo","Directorio","Linea","TextoOriginal","TextoCorregido","Modo"
"2026-08-08 22:38:42","academicAdminApi.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\jovial-yalow-2b5b58\src\modules\academic-admin\api","78","Ã¡","á","APLICADO"
"2026-08-08 22:38:42","academicAdminApi.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\jovial-yalow-2b5b58\src\modules\academic-admin\api","78","Ã¡","á","APLICADO"
"2026-08-08 22:38:42","academicAdminApi.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\jovial-yalow-2b5b58\src\modules\academic-admin\api","78","Ã³","ó","APLICADO"
"2026-08-08 22:38:42","academicAdminApi.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\jovial-yalow-2b5b58\src\modules\academic-admin\api","147","Ã¡","á","APLICADO"
"2026-08-08 22:38:42","academicAdminApi.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\jovial-yalow-2b5b58\src\modules\academic-admin\api","147","Ã©","é","APLICADO"
"2026-08-08 22:38:42","academicAdminApi.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\jovial-yalow-2b5b58\src\modules\academic-admin\api","228","Ã³","ó","APLICADO"
"2026-08-08 22:40:35","academicAdminApi.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\hungry-almeida-917deb\src\modules\academic-admin\api","46","Ã©","é","APLICADO"
"2026-08-08 22:40:35","academicAdminApi.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\hungry-almeida-917deb\src\modules\academic-admin\api","60","Ã­","í","APLICADO"
"2026-08-08 22:40:35","academicAdminApi.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\hungry-almeida-917deb\src\modules\academic-admin\api","78","Ã¡","á","APLICADO"
"2026-08-08 22:40:35","academicAdminApi.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\hungry-almeida-917deb\src\modules\academic-admin\api","78","Ã¡","á","APLICADO"
"2026-08-08 22:40:35","academicAdminApi.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\hungry-almeida-917deb\src\modules\academic-admin\api","78","Ã³","ó","APLICADO"
"2026-08-08 22:40:35","academicAdminApi.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\hungry-almeida-917deb\src\modules\academic-admin\api","147","Ã¡","á","APLICADO"
"2026-08-08 22:40:35","academicAdminApi.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\hungry-almeida-917deb\src\modules\academic-admin\api","147","Ã©","é","APLICADO"
"2026-08-08 22:40:36","academicAdminApi.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\hungry-almeida-917deb\src\modules\academic-admin\api","228","Ã³","ó","APLICADO"
"2026-08-08 22:46:01","planificacionUtils.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\planificacion\utils","64","Ã­","í","APLICADO"
"2026-08-08 22:46:01","planificacionUtils.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\planificacion\utils","65","Ã­","í","APLICADO"
"2026-08-08 22:46:01","planificacionUtils.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\planificacion\utils","68","Ã±","ñ","APLICADO"
"2026-08-08 22:46:05","calendarioDrawer.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\planificacion\components","55","Ã³","ó","APLICADO"
"2026-08-08 22:46:05","calendarioDrawer.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\planificacion\components","70","Ã­","í","APLICADO"
"2026-08-08 22:46:05","calendarioDrawer.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\planificacion\components","77","â—","●","APLICADO"
"2026-08-08 22:46:05","calendarioDrawer.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\planificacion\components","78","â—","●","APLICADO"
"2026-08-08 22:46:05","calendarioDrawer.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\planificacion\components","93","âš¡","⚡","APLICADO"
"2026-08-08 22:46:06","calendarioDrawer.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\planificacion\components","93","ðŸ“…","📅","APLICADO"
"2026-08-08 22:46:06","calendarioDrawer.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\planificacion\components","107","Ã­","í","APLICADO"
"2026-08-08 22:46:06","calendarioDrawer.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\planificacion\components","187","Ã³","ó","APLICADO"
"2026-08-08 22:46:07","calendarioDrawer.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\planificacion\components","302","â€¹","‹","APLICADO"
"2026-08-08 22:46:07","calendarioDrawer.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\planificacion\components","304","â€º","›","APLICADO"
"2026-08-08 22:46:08","claseEmergenteModal.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\planificacion\components","38","Ã­","í","APLICADO"
"2026-08-08 22:46:08","claseEmergenteModal.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\planificacion\components","38","Ã­","í","APLICADO"
"2026-08-08 22:46:08","claseEmergenteModal.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\planificacion\components","87","âœ“","✓","APLICADO"
"2026-08-08 22:46:09","claseEmergenteModal.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\planificacion\components","100","âœ“","✓","APLICADO"
"2026-08-08 22:46:10","claseEmergenteModal.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\planificacion\components","302","âœï¸","✏️","APLICADO"
"2026-08-08 22:46:10","claseEmergenteModal.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\planificacion\components","302","Ã³","ó","APLICADO"
"2026-08-08 22:46:11","claseEmergenteModal.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\planificacion\components","351","Ã³","ó","APLICADO"
"2026-08-08 22:46:12","claseEmergenteModal.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\planificacion\components","393","ðŸ“‹","📋","APLICADO"
"2026-08-08 22:46:13","claseEmergenteModal.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\planificacion\components","393","Ã³","ó","APLICADO"
"2026-08-08 22:46:14","claseEmergenteModal.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\planificacion\components","425","âš¡","⚡","APLICADO"
"2026-08-08 22:46:15","claseEmergenteModal.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\planificacion\components","425","ðŸ“…","📅","APLICADO"
"2026-08-08 22:46:16","claseEmergenteModal.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\planificacion\components","433","âœ…","✅","APLICADO"
"2026-08-08 22:46:17","claseEmergenteModal.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\planificacion\components","433","â³","⏳","APLICADO"
"2026-08-08 22:46:19","revisionModal.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\planificacion\components","11","âœ¨","✨","APLICADO"
"2026-08-08 22:46:19","revisionModal.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\planificacion\components","11","Ã³","ó","APLICADO"
"2026-08-08 22:46:19","revisionModal.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\planificacion\components","18","ðŸ“","📝","APLICADO"
"2026-08-08 22:46:19","revisionModal.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\planificacion\components","25","âœ¨","✨","APLICADO"
"2026-08-08 22:46:19","revisionModal.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\planificacion\components","32","ðŸ“Š","📊","APLICADO"
"2026-08-08 22:46:20","tareasPanel.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\planificacion\components","53","âœ“","✓","APLICADO"
"2026-08-08 22:46:20","tareasPanel.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\planificacion\components","96","â˜ ","☠","APLICADO"
"2026-08-08 22:46:20","tareasPanel.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\planificacion\components","119","ðŸ“…","📅","APLICADO"
"2026-08-08 22:46:32","observacionesUtils.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\observaciones\utils","12","Ã©","é","APLICADO"
"2026-08-08 22:46:36","maestrosUtils.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\maestros\utils","25","Ã­","í","APLICADO"
"2026-08-08 22:46:36","maestrosUtils.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\maestros\utils","35","Ã³","ó","APLICADO"
"2026-08-08 22:46:36","maestrosUtils.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\maestros\utils","40","Ã³","ó","APLICADO"
"2026-08-08 22:46:37","maestrosUtils.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\maestros\utils","42","Ã³","ó","APLICADO"
"2026-08-08 22:46:37","maestrosUtils.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\maestros\utils","44","Ã­","í","APLICADO"
"2026-08-08 22:46:37","maestrosUtils.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\maestros\utils","44","Ã­","í","APLICADO"
"2026-08-08 22:46:37","maestrosUtils.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\maestros\utils","69","Ã­","í","APLICADO"
"2026-08-08 22:46:37","maestrosUtils.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\maestros\utils","79","Ã³","ó","APLICADO"
"2026-08-08 22:46:37","maestrosUtils.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\maestros\utils","84","Ã³","ó","APLICADO"
"2026-08-08 22:46:37","maestrosUtils.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\maestros\utils","86","Ã³","ó","APLICADO"
"2026-08-08 22:46:37","maestrosUtils.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\maestros\utils","88","Ã­","í","APLICADO"
"2026-08-08 22:46:37","maestrosUtils.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\maestros\utils","88","Ã­","í","APLICADO"
"2026-08-08 22:46:49","scoreDirectorView.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\hermes\views","2","â€”","—","APLICADO"
"2026-08-08 22:46:49","scoreDirectorView.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\hermes\views","4","Ã³","ó","APLICADO"
"2026-08-08 22:46:49","scoreDirectorView.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\hermes\views","4","Ã³","ó","APLICADO"
"2026-08-08 22:46:49","scoreDirectorView.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\hermes\views","8","Ã³","ó","APLICADO"
"2026-08-08 22:46:49","scoreDirectorView.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\hermes\views","21","Ã³","ó","APLICADO"
"2026-08-08 22:46:49","scoreDirectorView.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\hermes\views","22","Ã©","é","APLICADO"
"2026-08-08 22:46:49","scoreDirectorView.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\hermes\views","23","Ã³","ó","APLICADO"
"2026-08-08 22:46:49","scoreDirectorView.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\hermes\views","25","Ã­","í","APLICADO"
"2026-08-08 22:46:49","scoreDirectorView.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\hermes\views","27","Ã©","é","APLICADO"
"2026-08-08 22:46:49","scoreDirectorView.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\hermes\views","44","Ã³","ó","APLICADO"
"2026-08-08 22:46:49","scoreDirectorView.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\hermes\views","48","Ã³","ó","APLICADO"
"2026-08-08 22:46:49","scoreDirectorView.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\hermes\views","49","Ã­","í","APLICADO"
"2026-08-08 22:46:50","scoreDirectorView.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\hermes\views","158","Â·","·","APLICADO"
"2026-08-08 22:46:50","scoreDirectorView.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\hermes\views","158","Â·","·","APLICADO"
"2026-08-08 22:46:50","scoreDirectorView.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\hermes\views","177","Ã­","í","APLICADO"
"2026-08-08 22:46:50","scoreDirectorView.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\hermes\views","183","Ã³","ó","APLICADO"
"2026-08-08 22:46:51","scoreDirectorView.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\hermes\views","188","Ãº","ú","APLICADO"
"2026-08-08 22:46:51","scoreDirectorView.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\hermes\views","188","Ã¡","á","APLICADO"
"2026-08-08 22:46:51","scoreDirectorView.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\hermes\views","229","Ã³","ó","APLICADO"
"2026-08-08 22:46:52","scoreDirectorView.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\hermes\views","241","Ã­","í","APLICADO"
"2026-08-08 22:46:52","scoreDirectorView.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\hermes\views","260","â†’","→","APLICADO"
"2026-08-08 22:46:52","scoreDirectorView.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\hermes\views","268","Ã­","í","APLICADO"
"2026-08-08 22:46:53","scoreDirectorView.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\hermes\views","268","Ã¡","á","APLICADO"
"2026-08-08 22:46:53","scoreDirectorView.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\hermes\views","283","â€”","—","APLICADO"
"2026-08-08 22:46:54","scoreDirectorView.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\hermes\views","295","Â·","·","APLICADO"
"2026-08-08 22:46:54","scoreDirectorView.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\hermes\views","328","Ã¡","á","APLICADO"
"2026-08-08 22:46:55","scoreDirectorView.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\hermes\views","328","Ã¡","á","APLICADO"
"2026-08-08 22:46:56","scoreDirectorView.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\great-curran-6f9678\src\modules\hermes\views","329","Ãº","ú","APLICADO"
