table,capability,cols,fk_out,fk_in,policies,triggers,create_migration,veredicto_uso,confianza,archivo_clave,referencias_prod,referencias_mock,notas,db_comment,decision,owner
alumno_suspensiones,protección/seguimiento,11,3,0,2,1,20260904120000_seguimiento_ausentes_reinicio_y_suspension.sql,ACTIVA,alta,src/modules/pedagogico/services/seguimientoAusentesService.js,src/modules/pedagogico/services/seguimientoAusentesService.js,tests/unit/pedagogico/services/seguimientoAusentesService.crud.test.js,Módulo activo de ausentismo (migración 2026-09-04); enlazada en vista vw_seguimiento_ausentes.,,Terminar,ACM/DIR
alumnos_ejercicios,protección/seguimiento,11,2,0,2,1,schema_reference.sql (sin fecha),HUÉRFANA,alta,schema_reference.sql (sin fecha),,,"Sin ninguna referencia en código, vistas ni funciones de BD.",,Eliminar,protección/seguimiento
alumnos_logros,protección/seguimiento,3,2,0,2,0,schema_reference.sql (sin fecha),ACTIVA,alta,src/modules/admin-dashboard/api/academicReportsApi.js,src/modules/admin-dashboard/api/academicReportsApi.js (RPC: get_informe_academico_semestral); src/modules/admin-dashboard/views/reporteSemestralView.js (RPC: get_informe_academico_semestral),,Leída por RPC get_informe_academico_semestral en reportes académicos y dashboard administrativo.,,Terminar,ACM
alumnos_modulos,alumno/admisiones,10,2,0,2,1,schema_reference.sql (sin fecha),HUÉRFANA,alta,schema_reference.sql (sin fecha),,,"Sin ninguna referencia en código, vistas ni funciones de BD.",,Eliminar,alumno/admisiones
alumnos_reinscripciones,alumno/admisiones,9,2,0,1,0,,CABLEADA-SIN-DATOS,alta,fn_reactivar_alumno,,,Referenciada en función de BD fn_reactivar_alumno; sin llamadas directas desde UI.,,Terminar,ADM
alumnos_rutas,académico,12,3,0,2,1,schema_reference.sql (sin fecha),HUÉRFANA,alta,schema_reference.sql (sin fecha),,,"Sin ninguna referencia en código, vistas ni funciones de BD.",,Eliminar,académico
applicant_events,alumno/admisiones,5,1,0,3,0,20260827200000_soi_enrollment_funnel_m1.sql,ACTIVA,alta,supabase/functions/enrollment-scheduler/index.ts,supabase/functions/enrollment-scheduler/index.ts,,Pipeline de admisiones/funnel activo en enrollment-scheduler y webhook de WhatsApp.,,Terminar,ADM
applicants,alumno/admisiones,9,0,2,3,1,20260827200000_soi_enrollment_funnel_m1.sql,ACTIVA,alta,supabase/functions/enrollment-scheduler/index.ts,supabase/functions/enrollment-scheduler/index.ts; supabase/functions/whatsapp-webhook/index.ts,,Pipeline de admisiones/funnel activo en enrollment-scheduler y webhook de WhatsApp.,,Terminar,ADM
appointments,alumno/admisiones,8,1,0,4,1,20260827200000_soi_enrollment_funnel_m1.sql,ACTIVA,alta,supabase/functions/enrollment-scheduler/index.ts,supabase/functions/enrollment-scheduler/index.ts,,Pipeline de admisiones/funnel activo en enrollment-scheduler y webhook de WhatsApp.,,Terminar,ADM
asistencia_maestros,protección/seguimiento,15,7,0,2,1,20260726_asistencia_docente_y_rls_periodos.sql,ACTIVA,alta,src/modules/maestros/api/maestrosApi.js,src/modules/maestros/api/maestrosApi.js (RPC: eliminar_maestro_limpio); src/modules/periodos/api/reporteCierreApi.js (RPC: fn_reporte_indicadores_adicionales),,Operada por RPCs retirar_maestro_seguro y eliminar_maestro_limpio en maestrosApi.js.,Presencia del docente por sesion de clase. Complementa ausencias_maestros.,Terminar,ACM/DIR
asistencias_emergentes,protección/seguimiento,10,1,0,3,0,20260606_emergentes_columns_and_asistencias.sql,HUÉRFANA,alta,20260606_emergentes_columns_and_asistencias.sql,,,"Sin ninguna referencia en código, vistas ni funciones de BD.",,Eliminar,protección/seguimiento
audiciones,alumno/admisiones,22,1,0,2,0,20260714203000_acm_rubrica_evaluacion.sql,HUÉRFANA,alta,audiciones.html,,src/core/catalogAudit.test.js; src/core/catalogDiagnosticsView.test.js; src/modules/admin-dashboard/views/__tests__/reporteSemestralView.test.js,"Hits en código son la ruta/portal ""audiciones-entry"", no la tabla BD audiciones.",Evaluaciones de audiciones de nivel y diagnóstico segun canon ACM-RUB-001 V8.,Eliminar,alumno/admisiones
ausencias,protección/seguimiento,10,0,1,4,1,schema_reference.sql (sin fecha),ACTIVA,alta,src/modules/auth/components/ausenciaForm.js,src/modules/auth/components/ausenciaForm.js; src/modules/auth/components/ausenciaHistorial.js; src/modules/sistema/components/centroActividadesPanel.js; src/portal-maestros/components/ausenciaForm.js; src/portal-maestros/services/maestroDataService.js; src/portal-maestros/views/alumnoPerfilView.js; src/modules/admin-dashboard/api/academicReportsApi.js (RPC: get_resumen_academico_mensual); src/modules/admin-dashboard/views/reporteMensualView.js (RPC: get_resumen_academico_mensual); src/modules/periodos/api/reporteCierreApi.js (RPC: fn_reporte_cierre_semestre); src/modules/periodos/services/pdfCierreSemestre.js (RPC: fn_reporte_cierre_semestre); src/modules/periodos/services/__tests__/pdfCierreSemestre.test.js (RPC: fn_reporte_cierre_semestre),src/core/utils/loadJsonMock.js; src/core/auth/__tests__/accessControl.test.js; src/modules/admin-aprobacion/views/__tests__/ausenciasAdminView.test.js; src/modules/admin-dashboard/views/__tests__/reporteSemestralView.test.js; src/modules/admin-notificaciones/api/__tests__/adminNotifApi.test.js; src/modules/admin-notificaciones/views/__tests__/adminNotificacionesView.test.js; src/modules/director-aprobacion/views/__tests__/ausenciasDirectorView.test.js; src/modules/guidance/__tests__/GuidancePanel.test.js; src/modules/periodos/services/__tests__/pdfCierreSemestre.test.js; src/portal-maestros/api/__tests__/ausenciasApi.test.js; src/portal-maestros/api/__tests__/ausenciaValidator.test.js; src/portal-maestros/services/__tests__/ausenciaService.test.js; src/portal-maestros/services/__tests__/fileUploadService.test.js; src/portal-maestros/services/__tests__/groqService.test.js; src/portal-maestros/shell/__tests__/portalRoutes.security.test.js; src/portal-maestros/views/__tests__/alumnoPerfilView.historial.test.js; src/portales/_shared/__tests__/departmentPortalProfiles.contract.test.js,Flujo central de ausencias de alumnos/maestros en portal de maestros y reportes semestrales.,,Terminar,ACM/DIR
ausencias_auditoria,protección/seguimiento,6,2,0,2,0,20260520_create_ausencias_auditoria.sql,ACTIVA,alta,src/modules/admin-aprobacion/api/ausenciaAprobacionApi.js,src/modules/admin-aprobacion/api/ausenciaAprobacionApi.js; src/modules/metricas/api/observabilidadSupabase.js; src/portal-maestros/api/ausenciasApi.js; src/portal-maestros/api/ausenciaService.js,src/modules/metricas/api/observabilidadMock.js; src/__tests__/integration/ausencia-workflow.integration.test.js,Flujo central de ausencias de alumnos/maestros en portal de maestros y reportes semestrales.,,Terminar,ACM/DIR
ausencias_clases_afectadas,protección/seguimiento,5,2,0,3,0,,HUÉRFANA,alta,sin migración versionada,,,"Sin ninguna referencia en código, vistas ni funciones de BD.",Junction: clases afectadas por una ausencia y actividades de reemplazo.,Eliminar,protección/seguimiento
ausencias_notificaciones,protección/seguimiento,8,2,0,3,0,,HUÉRFANA,alta,sin migración versionada,,,"Sin ninguna referencia en código, vistas ni funciones de BD.",Notificaciones a directores sobre solicitudes de ausencia.,Eliminar,protección/seguimiento
autorizaciones_accesorio,inventario/lutería,7,2,0,2,0,,HUÉRFANA,alta,sin migración versionada,,,"Sin ninguna referencia en código, vistas ni funciones de BD.",,Eliminar,inventario/lutería
calendario,académico/operaciones,16,3,1,4,0,,ACTIVA,alta,src/modules/calendario/api/calendarApi.js,src/modules/calendario/api/calendarApi.js (RPC: fn_crear_evento_calendario); src/modules/calendario/api/calendarApi.js (RPC: fn_obtener_eventos_proximos); src/modules/calendario/api/calendarApi.js (RPC: fn_obtener_tareas_departamento),src/modules/comunicaciones/api/calendarioComMock.js; src/core/auth/__tests__/accessControl.test.js; src/modules/calendario/__tests__/calendarioUnificadoApi.test.js; src/modules/simulador/api/__tests__/simuladorApi.test.js; src/portal-maestros/shell/__tests__/portalRoutes.security.test.js; src/portal-maestros/views/__tests__/calendarioView-bug-today.test.js; src/portal-maestros/views/__tests__/calendarioView-layout.test.js; src/portal-maestros/views/__tests__/calendarioView.receso-periodo.test.js; src/portales/_shared/__tests__/departmentPortalProfiles.contract.test.js; src/__tests__/permissionRouteGuard.test.js,Operada por RPCs de tareas y eventos de calendario en calendarApi.js y protegida por RLS.,,Terminar,DIR/COM
campana_participaciones,ninguna identificada,6,2,0,3,0,,HUÉRFANA,alta,sin migración versionada,,,"Sin ninguna referencia en código, vistas ni funciones de BD.",,Eliminar,ninguna identificada
campanas_pago,finanzas,9,1,1,2,0,,HUÉRFANA,alta,sin migración versionada,,,Sin referencias en código ni DB; referenciada por FK entrante: campana_participaciones.campana_id.,,Eliminar,finanzas
campania_envios,alianzas/comunicaciones,12,1,1,1,0,20260626_campanias_periodo_segmentacion.sql,ACTIVA,alta,src/modules/campanias/api/campaniasApi.js,src/modules/campanias/api/campaniasApi.js (RPC: fn_encolar_campania); supabase/functions/whatsapp-webhook/index.ts (RPC: fn_whatsapp_optout); src/modules/campanias/api/campaniasApi.js (RPC: fn_activar_campania); supabase/functions/whatsapp-dispatcher/index.ts (RPC: fn_whatsapp_reclamar_pendientes),,Módulo activo de campañas WhatsApp en campaniasApi.js y edge functions de mensajería.,,Terminar,COM
campanias_destinatarios,alianzas/comunicaciones,9,2,0,4,0,20260626_campanias_marketing.sql,HUÉRFANA,alta,20260626_campanias_marketing.sql,,,"Sin ninguna referencia en código, vistas ni funciones de BD.",,Eliminar,alianzas/comunicaciones
campanias_marketing,alianzas/comunicaciones,15,1,1,4,1,20260626_campanias_marketing.sql,HUÉRFANA,alta,20260626_campanias_marketing.sql,,,Sin referencias en código ni DB; referenciada por FK entrante: campanias_destinatarios.campania_id.,,Eliminar,alianzas/comunicaciones
campanias_periodo,alianzas/comunicaciones,12,1,2,1,0,20260626_campanias_periodo_segmentacion.sql,ACTIVA,alta,src/modules/campanias/api/campaniasApi.js,src/modules/campanias/api/campaniasApi.js; supabase/functions/whatsapp-webhook/index.ts (RPC: fn_servicio_publico_activo); src/modules/campanias/api/campaniasApi.js (RPC: fn_preview_campania); src/modules/campanias/views/campaniasView.js (RPC: fn_preview_campania); src/modules/campanias/api/campaniasApi.js (RPC: fn_activar_campania),,Módulo activo de campañas WhatsApp en campaniasApi.js y edge functions de mensajería.,,Terminar,COM
catalogo_objetivos_especificos,académico,7,1,1,2,1,,CABLEADA-SIN-DATOS,alta,funciones curriculares BD,,,"Esquema curricular legacy con funciones/vistas en BD (clonar_catalogo_a_clase), pero sin llamadas desde código PROD.",,Archivar,ACM
cierres_caja,finanzas,9,1,0,3,0,,HUÉRFANA,alta,sin migración versionada,,,"Sin ninguna referencia en código, vistas ni funciones de BD.",,Eliminar,finanzas
clase_acceso_temporal,académico/operaciones,7,1,0,5,0,portal-maestros-tables.sql (sin fecha),HUÉRFANA,alta,portal-maestros-tables.sql (sin fecha),,,"Sin ninguna referencia en código, vistas ni funciones de BD.",,Eliminar,académico/operaciones
clase_mapa_indicadores,académico,12,3,1,1,3,,CABLEADA-SIN-DATOS,alta,vw_clase_objetivo_estrellas,,,"Esquema curricular legacy con funciones/vistas en BD (vw_clase_objetivo_estrellas,vw_evaluacion_indicador_global), pero sin llamadas desde código PROD.",,Archivar,ACM
clase_mapa_objetivos,académico,14,4,1,1,2,,CABLEADA-SIN-DATOS,alta,funciones curriculares BD,,,"Esquema curricular legacy con funciones/vistas en BD (fn_datos_jerarquicos_de_objetivo,fn_asignar_id_jerarquico,fn_bloquear_id_jerarquico,clonar_plantilla_a_clase,clonar_catalogo_a_clase), pero sin llamadas desde código PROD.",,Archivar,ACM
clases_emergentes,académico/operaciones,16,0,1,5,0,portal-maestros-tables.sql (sin fecha),ACTIVA,alta,src/portal-maestros/services/maestroDataService.js,src/portal-maestros/services/maestroDataService.js; src/portal-maestros/views/calendarioView.js; src/modules/periodos/api/reporteCierreApi.js (RPC: fn_reporte_indicadores_adicionales),src/modules/periodos/services/__tests__/pdfCierreSemestre.test.js; tests/portal-maestros/hoyViewEmergente.test.js,"Horarios y clases emergentes leídos en portal docente (maestroDataService, calendarioView) y vistas de signage.",,Terminar,ACM
class_event_methodology,académico,14,2,0,5,0,20260507_class_events_schema.sql,CABLEADA-SIN-DATOS,alta,src/portal-maestros/services/classEventService.js,src/portal-maestros/services/classEventService.js,,Metodología estructurada de eventos de clase y tareas cableada en portal maestros pero sin datos reales.,Notas de metodologia estructurada por evento de clase.,Terminar,ACM
class_events,académico,10,5,2,5,1,20260507_class_events_schema.sql,CABLEADA-SIN-DATOS,alta,src/portal-maestros/services/classEventService.js,src/portal-maestros/services/classEventService.js,,Metodología estructurada de eventos de clase y tareas cableada en portal maestros pero sin datos reales.,Registro explicito de evento de clase por sesion+alumno.,Terminar,ACM
class_session_content_snapshots,académico,8,0,0,3,0,006_academic_route_schema.sql,CABLEADA-SIN-DATOS,alta,src/modules/academic-routes/services/academicService.js,src/modules/academic-routes/services/academicService.js; src/portal-maestros/views/asistenciaView.js,,Metodología estructurada de eventos de clase y tareas cableada en portal maestros pero sin datos reales.,,Terminar,ACM
cobertura_alumno_objetivo,académico,9,4,0,3,0,20260523_curriculos.sql,CABLEADA-SIN-DATOS,alta,src/modules/planificacion/api/coberturaSupabase.js,src/modules/planificacion/api/coberturaSupabase.js; src/modules/planificacion/api/rutasApi.js,,"Servicio implementado para planificación pedagógica / casos, pero la feature no se ha puesto en uso.",,Terminar,ACM
compromisos_pago,finanzas,9,2,0,2,0,,CABLEADA-SIN-DATOS,alta,fn_calcular_score_representante,,,"Nombrada en manifiesto de finanzas y en fn_calcular_score_representante, pero sin queries directas.",,Terminar,FIN
contenidos_sesion,académico,9,5,0,7,0,schema_reference.sql (sin fecha),CABLEADA-SIN-DATOS,alta,src/modules/admin-dashboard/api/contenidoAnalyticsApi.js,src/modules/admin-dashboard/api/contenidoAnalyticsApi.js; src/modules/asistencias/api/asistenciasSupabase.js,,Estructura curricular de contenidos y rutas cableada en APIs pero sin datos cargados.,,Terminar,ACM
document_batches,operaciones/reportes,17,0,1,1,0,20260607_documentos_institucionales.sql,CABLEADA-SIN-DATOS,alta,src/modules/config/services/documentBatchService.js,src/modules/config/services/documentBatchService.js,,Generador de documentos institucionales por lote implementado pero nunca ejecutado en producción.,,Archivar,DIR/ADM
evaluations,alumno/admisiones,19,1,0,4,1,20260622_audiciones_integration_fixes.sql,CABLEADA-SIN-DATOS,alta,src/modules/audiciones/api/audicionesSupabase.js,src/modules/audiciones/api/audicionesSupabase.js,src/modules/audiciones/api/mocks/audicionesMock.js; src/modules/alumnos/__tests__/obtenerResumenAcademico.test.js; src/modules/audiciones/__tests__/aggregation.test.js; src/modules/audiciones/__tests__/EvaluacionView.test.js; src/modules/planificacion/__tests__/evaluacionClaseModal.test.js; src/modules/planificacion/__tests__/evaluacionClaseService.test.js; src/modules/planificacion/__tests__/evaluacionEstrellas.test.js; src/modules/planificacion/__tests__/integration/planificacion-rediseño.integration.test.js; src/modules/planificacion/__tests__/useClasePlanificacion.test.js; src/portal-maestros/services/__tests__/evaluationService.offline.test.js; src/portal-maestros/services/__tests__/migration.vwIndiceEnsenanzaGuiada.test.js; src/services/__tests__/gdprService.test.js; tests/portal-maestros/evaluationService.test.js,Servicio de audiciones implementado en audicionesSupabase.js pero sin datos en producción.,,Terminar,ACM/ADM
exoneraciones,finanzas,12,3,0,2,0,,HUÉRFANA,alta,sin migración versionada,,,"Sin ninguna referencia en código, vistas ni funciones de BD.",,Eliminar,finanzas
facturas_reparacion,finanzas,13,2,0,4,0,,CABLEADA-SIN-DATOS,alta,src/modules/inventario/api/inventarioSupabase.js,src/modules/inventario/api/inventarioSupabase.js,,Módulo de reparaciones de inventario implementado con RPCs pero sin registros cargados.,Facturas asociadas a reparaciones de instrumentos.,Terminar,FIN/LUT
fin_service_balance_snapshots,finanzas,11,2,0,0,0,20260823000000_fin_service_balances.sql,ACTIVA,alta,supabase/functions/refresh-service-balances/index.ts,supabase/functions/refresh-service-balances/index.ts,tests/unit/migrations/finServiceBalances.schema.test.js,Operada directamente por Edge Function refresh-service-balances en producción.,Historico de balances por cuenta. Solo service_role.,Terminar,FIN
fin_service_refresh_runs,finanzas,9,1,2,0,0,20260823000000_fin_service_balances.sql,ACTIVA,alta,supabase/functions/refresh-service-balances/index.ts,supabase/functions/refresh-service-balances/index.ts,tests/unit/migrations/finServiceBalances.schema.test.js,Operada directamente por Edge Function refresh-service-balances en producción.,Auditoria de cada intento de refresh. Solo service_role.,Terminar,FIN
fin_service_refresh_state,finanzas,8,2,0,0,0,20260823000000_fin_service_balances.sql,ACTIVA,alta,supabase/functions/refresh-service-balances/index.ts,supabase/functions/refresh-service-balances/index.ts; supabase/functions/refresh-service-balances/index.ts (RPC: fn_fin_complete_service_refresh); supabase/functions/refresh-service-balances/index.ts (RPC: fn_fin_acquire_service_refresh_lock),,Operada directamente por Edge Function refresh-service-balances en producción.,Lock + ultima consulta por cuenta. Solo service_role.,Terminar,FIN
gastos_fijos_pagos,finanzas,11,1,0,3,0,20260823220000_gastos_fijos_mensuales.sql,ACTIVA,alta,src/portales/fin/src/context/FinanceContext.tsx,src/portales/fin/src/context/FinanceContext.tsx; src/portales/fin/src/context/FinanceContext.tsx (RPC: fn_generar_instancias_gastos_fijos); src/portales/fin/src/infrastructure/supabase/CanonicalManifest.ts (RPC: fn_generar_instancias_gastos_fijos),,Consultada por FinanceContext vía supabaseRest en cada sesión del portal de Finanzas.,,Terminar,FIN
generated_documents,operaciones/reportes,18,3,0,1,0,20260607_documentos_institucionales.sql,CABLEADA-SIN-DATOS,alta,src/modules/config/services/documentBatchService.js,src/modules/config/services/documentBatchService.js; src/modules/config/views/generatedDocumentsView.js; src/modules/pedagogico/services/studentRiskDetectorService.js; src/modules/pedagogico/views/studentCaseDetailView.js,,Generador de documentos institucionales por lote implementado pero nunca ejecutado en producción.,,Archivar,DIR/ADM
hermes_acciones,gateway/hermes,9,1,2,1,0,,HUÉRFANA,alta,sin migración versionada,,,"Sin referencias en código ni DB; referenciada por FK entrante: hermes_feedback.accion_id, hermes_notificaciones.accion_id.",,Eliminar,gateway/hermes
hermes_evaluaciones,gateway/hermes,5,0,0,1,0,,HUÉRFANA,alta,sin migración versionada,,,"Sin ninguna referencia en código, vistas ni funciones de BD.",,Eliminar,gateway/hermes
hermes_feedback,gateway/hermes,11,2,0,1,0,,HUÉRFANA,alta,sin migración versionada,,,"Sin ninguna referencia en código, vistas ni funciones de BD.",,Eliminar,gateway/hermes
hermes_notificaciones,gateway/hermes,9,1,0,1,0,,HUÉRFANA,alta,sin migración versionada,,,"Sin ninguna referencia en código, vistas ni funciones de BD.",,Eliminar,gateway/hermes
hilos_mensajes,alianzas/comunicaciones,8,1,1,3,0,,HUÉRFANA,alta,sin migración versionada,,,Sin referencias en código ni DB; referenciada por FK entrante: mensajes_internos.hilo_id.,,Eliminar,alianzas/comunicaciones
homework_assignments,académico,9,4,0,5,0,20260507_class_events_schema.sql,CABLEADA-SIN-DATOS,alta,src/portal-maestros/components/HomeworkPanel.js,src/portal-maestros/components/HomeworkPanel.js; src/portal-maestros/services/classEventService.js,,Metodología estructurada de eventos de clase y tareas cableada en portal maestros pero sin datos reales.,Tareas formales con link opcional a nodo y fecha limite.,Terminar,ACM
horarios,académico/operaciones,10,3,1,5,1,schema_reference.sql (sin fecha),ACTIVA,alta,src/portal-maestros/api/ausenciasApi.js,src/portal-maestros/api/ausenciasApi.js; src/portal-maestros/services/maestroDataService.js; src/portal-maestros/services/notificationService.js (RPC: fn_generate_class_start_reminders); src/portal-maestros/services/__tests__/notificationService.periodo.test.js (RPC: fn_generate_class_start_reminders),src/assets/data/mocks/clases.json; src/portal-maestros/data/clases.json; src/modules/clases/models/clase.model.test.js; src/modules/clases/views/clasesPdf.test.js; src/modules/clases/views/clasesView.helpers.test.js; src/modules/clases/__tests__/clasesApi.test.js; src/modules/horario-general/services/__tests__/horarioGeneralService.test.js; src/modules/transicion-semestre/__tests__/ClassEditor.test.js; src/modules/transicion-semestre/__tests__/semesterTransition.test.js; src/modules/transicion-semestre/__tests__/TransitionWizard.test.js; src/portal-maestros/services/__tests__/emergenteJustificacionService.test.js; src/portal-maestros/services/__tests__/maestroDataService.test.js; src/portal-maestros/views/__tests__/calendarioView-dots.test.js; src/portal-maestros/views/__tests__/calendarioView.receso-periodo.test.js; src/portal-maestros/views/__tests__/gestionarClasesView.test.js; tests/unit/maestros/domain/generarPdfReporteMaestro.test.js,"Horarios y clases emergentes leídos en portal docente (maestroDataService, calendarioView) y vistas de signage.",,Terminar,ACM
indicator_session_students,académico,6,2,0,2,0,20260604000002_indicator_session_students.sql,CABLEADA-SIN-DATOS,alta,src/modules/planning/services/planningService.js,src/modules/planning/services/planningService.js; src/modules/bitacora/api/bitacoraSupabase.js (RPC: registrar_sesion_bitacora),,Sistema de bitácora y sesiones de indicadores cableado en planning/bitácora pero sin registros en prod.,,Terminar,ACM
indicator_sessions,académico,8,3,1,3,0,20260604000001_indicator_sessions.sql,CABLEADA-SIN-DATOS,alta,src/modules/bitacora/api/bitacoraSupabase.js,src/modules/bitacora/api/bitacoraSupabase.js; src/modules/planning/services/historialService.js; src/modules/planning/services/planningService.js; src/modules/bitacora/api/bitacoraSupabase.js (RPC: registrar_sesion_bitacora),,Sistema de bitácora y sesiones de indicadores cableado en planning/bitácora pero sin registros en prod.,,Terminar,ACM
instituciones,alianzas/comunicaciones,16,0,1,4,1,20260626_campanias_marketing.sql,HUÉRFANA,alta,20260626_campanias_marketing.sql,,,Sin referencias en código ni DB; referenciada por FK entrante: campanias_destinatarios.institucion_id.,,Eliminar,alianzas/comunicaciones
intentos_ejercicios,protección/seguimiento,13,5,0,2,0,schema_reference.sql (sin fecha),HUÉRFANA,alta,schema_reference.sql (sin fecha),,,"Sin ninguna referencia en código, vistas ni funciones de BD.",,Eliminar,protección/seguimiento
inventario_import_staging,inventario/lutería,33,0,0,0,0,,HUÉRFANA,alta,sin migración versionada,,,"Sin ninguna referencia en código, vistas ni funciones de BD.",Tabla temporal para importar inventario_supabase_import.csv.,Eliminar,inventario/lutería
